num_observations,rmse,mae,r
1,9.168015952201019,8.694516378513995,-5.232097101674794
1,8.943921063849114,8.492958608882672,-5.361005038091782
1,8.754246039293873,8.32937344775699,-5.604238747490924
1,8.606572469338207,8.212306008658404,-5.980648387757375
1,8.532259402524513,8.157770983988247,-6.259410864772533
1,8.441545018972194,8.092298942539479,-6.671197338564861
1,8.55499375405795,8.165373832263812,-6.03360127296159
1,8.719174286508643,8.269995193322728,-5.335227909559302
1,8.92121297621279,8.405790588423315,-4.739022077800886
1,9.05360368586018,8.500840839510035,-4.489084689214396
1,9.20104574712706,8.613987875852157,-4.3050154017280535
1,9.36758832907462,8.7493661670958,-4.161475269596576
1,9.601784743619449,8.961527495931536,-4.12653961619897
1,9.872220890964094,9.2296292988834,-4.2535923816063725
1,10.148164097572947,9.513930005077905,-4.473920054385926
1,10.432636554458545,9.813146113941388,-4.765849524106913
1,10.707873253075128,10.110538041884379,-5.141132691175259
1,10.98811680687195,10.427972456678935,-5.7126317898463626
1,11.249492717501683,10.737129666398355,-6.504208964723013
1,11.493459883690205,11.03837083727646,-7.607911219731037
1,11.701992446111197,11.310148688757808,-9.147094318066538
1,11.88044851343506,11.558776530589688,-11.490716289126945
1,12.02690194540691,11.765207925670905,-14.530841222976361
1,12.147950440437342,11.936678903993077,-18.412031791000782
1,12.2405910738974,12.07149223655881,-23.47340362461203
1,12.313412447998756,12.178034617216927,-29.752852816045404
1,12.358810678068616,12.242676266301322,-34.98770063052425
1,12.36643236243801,12.253368598311543,-35.86677874659148
1,12.338713398807014,12.218691855823312,-33.29455682900845
1,12.27234864765292,12.138547256031377,-29.429477156476537
1,12.158151779971202,12.016074620176322,-27.445570102879493
1,11.958709224824977,11.809720500802959,-26.0013219733119
1,11.69068937585216,11.547058668862542,-26.903379361555803
1,11.471873581088849,11.325880889925118,-26.295846567039874
1,11.28948180286699,11.137159826980332,-24.905121652400823
1,11.1118893956063,10.954981751763613,-23.86717001212166
1,10.918836357681771,10.756706802665363,-22.79395059745722
1,10.721001652033445,10.555776899730866,-22.04132775867335
1,10.517239045500261,10.352673124729902,-21.831673743497223
1,10.297928941424004,10.140798222558828,-22.570472240052208
1,10.068034922812643,9.92253817613265,-24.034843502425343
1,9.823981634699336,9.694658335818877,-26.61854698505204
1,9.577232159988945,9.467938175918528,-31.11988956047921
1,9.339010453752483,9.25216064751808,-38.868759987925344
1,9.12042544389639,9.057023254893112,-53.30010394189213
1,8.955356986329596,8.905294176345915,-68.2018006794116
1,8.81709435486378,8.778695828372918,-90.1707909626691
1,8.705550960368551,8.676937597178823,-124.11645312732472
1,8.621989417483578,8.599611306707875,-163.53327761540822
1,8.562823594496972,8.544488213617324,-202.47611664371578
1,8.527366452687327,8.511434755246949,-232.42255163748305
1,8.507259785601953,8.492638714770942,-246.23417557439217
1,8.504948283372379,8.490511106144687,-232.42508027749508
1,8.511104038793933,8.496170445025607,-213.82470161669747
1,8.500796832433206,8.486732086081172,-211.4738062181296
1,8.494846985433174,8.481387195902215,-205.07432968173157
1,8.504616006126694,8.49054751300655,-189.662010901473
2,4.143023370159124,3.950290419792701,-4.8711166157867885
2,4.047047251611152,3.861912849538044,-4.996954763764412
2,3.992509630702164,3.8161806333011663,-5.221429247152557
2,3.9336045927443912,3.771031127576136,-5.616029944784147
2,3.898426449327667,3.7457585287028663,-6.052916583443439
2,3.8957666010409016,3.7440969107473263,-5.952799348544671
2,3.937223022790502,3.7719661552320947,-5.333890832846048
